family,father,mother,gender,height,kids,male,female
144,172.72,160.02,F,162.56,4,0,1
145,172.72,160.02,M,180.34,8,1,0
145,172.72,160.02,M,172.72,8,1,0
145,172.72,160.02,M,167.64,8,1,0
145,172.72,160.02,M,166.37,8,1,0
145,172.72,160.02,M,165.1,8,1,0
145,172.72,160.02,F,160.02,8,0,1
145,172.72,160.02,F,157.48,8,0,1
145,172.72,160.02,F,157.48,8,0,1
146,172.72,160.02,M,170.18,6,1,0
146,172.72,160.02,M,170.18,6,1,0
146,172.72,160.02,M,167.64,6,1,0
146,172.72,160.02,F,162.56,6,0,1
146,172.72,160.02,F,161.29,6,0,1
146,172.72,160.02,F,154.94,6,0,1
147,173.99,161.29,M,173.228,1,1,0
148,172.72,160.02,M,177.8,1,1,0
149,173.228,161.29,M,177.8,5,1,0
149,173.228,161.29,M,175.26,5,1,0
149,173.228,161.29,M,170.18,5,1,0
149,173.228,161.29,M,166.37,5,1,0
149,173.228,161.29,F,163.83,5,0,1
150,172.72,158.75,M,173.99,1,1,0
151,174.498,157.48,M,171.958,2,1,0
151,174.498,157.48,F,156.718,2,0,1
152,172.72,158.75,M,168.91,1,1,0
153,172.72,154.94,M,173.99,5,1,0
153,172.72,154.94,M,172.72,5,1,0
153,172.72,154.94,M,162.56,5,1,0
153,172.72,154.94,F,161.29,5,0,1
153,172.72,154.94,F,160.02,5,0,1
154,172.72,152.908,M,169.418,1,1,0
155,172.72,152.4,M,162.56,7,1,0
155,172.72,152.4,F,154.94,7,0,1
155,172.72,152.4,F,154.94,7,0,1
155,172.72,152.4,F,152.4,7,0,1
155,172.72,152.4,F,152.4,7,0,1
155,172.72,152.4,F,152.4,7,0,1
155,172.72,152.4,F,142.24,7,0,1
156,172.72,152.4,M,171.45,4,1,0
156,172.72,152.4,M,170.18,4,1,0
156,172.72,152.4,M,168.91,4,1,0
156,172.72,152.4,F,152.4,4,0,1
157,173.99,149.86,M,175.26,1,1,0
158,172.72,149.86,M,172.72,10,1,0
158,172.72,149.86,M,165.1,10,1,0
158,172.72,149.86,M,164.338,10,1,0
158,172.72,149.86,M,162.56,10,1,0
158,172.72,149.86,M,162.56,10,1,0
158,172.72,149.86,M,160.02,10,1,0
158,172.72,149.86,F,165.1,10,0,1
158,172.72,149.86,F,165.1,10,0,1
158,172.72,149.86,F,157.48,10,0,1
158,172.72,149.86,F,154.94,10,0,1
159,170.18,168.148,M,184.658,5,1,0
159,170.18,168.148,M,184.658,5,1,0
159,170.18,168.148,M,181.61,5,1,0
159,170.18,168.148,F,166.37,5,0,1
159,170.18,168.148,F,161.29,5,0,1
160,170.18,168.91,M,180.34,1,1,0
162,170.18,165.1,M,177.038,6,1,0
162,170.18,165.1,M,171.45,6,1,0
162,170.18,165.1,F,166.37,6,0,1
162,170.18,165.1,F,165.1,6,0,1
162,170.18,165.1,F,163.83,6,0,1
162,170.18,165.1,F,161.29,6,0,1
163,170.18,166.37,M,177.8,5,1,0
163,170.18,166.37,M,175.26,5,1,0
163,170.18,166.37,F,166.37,5,0,1
163,170.18,166.37,F,166.37,5,0,1
163,170.18,166.37,F,160.02,5,0,1
164,170.18,166.37,M,177.8,4,1,0
164,170.18,166.37,M,171.958,4,1,0
164,170.18,166.37,F,160.02,4,0,1
164,170.18,166.37,F,152.4,4,0,1
165,170.18,165.1,M,165.1,3,1,0
165,170.18,165.1,F,157.48,3,0,1
165,170.18,165.1,F,157.48,3,0,1
166,171.45,165.1,M,180.34,11,1,0
166,171.45,165.1,M,175.26,11,1,0
166,171.45,165.1,F,162.56,11,0,1
166,171.45,165.1,F,162.56,11,0,1
166,171.45,165.1,F,160.02,11,0,1
166,171.45,165.1,F,160.02,11,0,1
166,171.45,165.1,F,160.02,11,0,1
166,171.45,165.1,F,160.02,11,0,1
166,171.45,165.1,F,160.02,11,0,1
166,171.45,165.1,F,158.75,11,0,1
166,171.45,165.1,F,157.48,11,0,1
167,170.18,162.56,M,181.61,4,1,0
167,170.18,162.56,M,177.8,4,1,0
167,170.18,162.56,M,170.18,4,1,0
167,170.18,162.56,M,170.18,4,1,0
168,170.18,161.29,M,180.34,8,1,0
168,170.18,161.29,M,178.308,8,1,0
168,170.18,161.29,M,175.768,8,1,0
168,170.18,161.29,M,173.99,8,1,0
168,170.18,161.29,M,172.72,8,1,0
168,170.18,161.29,M,170.18,8,1,0
168,170.18,161.29,M,166.37,8,1,0
168,170.18,161.29,F,161.29,8,0,1
169,170.18,160.02,M,175.26,3,1,0
169,170.18,160.02,M,172.72,3,1,0
169,170.18,160.02,F,160.02,3,0,1
170,171.45,157.48,M,177.8,5,1,0
170,171.45,157.48,M,176.53,5,1,0
170,171.45,157.48,M,175.26,5,1,0
170,171.45,157.48,M,173.99,5,1,0
170,171.45,157.48,F,167.64,5,0,1
171,170.18,154.94,M,170.18,1,1,0
172,167.64,170.18,M,179.07,8,1,0
172,167.64,170.18,M,179.07,8,1,0
172,167.64,170.18,M,170.18,8,1,0
172,167.64,170.18,M,167.64,8,1,0
172,167.64,170.18,M,167.64,8,1,0
172,167.64,170.18,F,157.48,8,0,1
172,167.64,170.18,F,157.48,8,0,1
172,167.64,170.18,F,156.21,8,0,1
173,167.64,170.18,M,182.88,9,1,0
173,167.64,170.18,M,165.1,9,1,0
173,167.64,170.18,M,165.1,9,1,0
173,167.64,170.18,F,170.18,9,0,1
173,167.64,170.18,F,162.56,9,0,1
173,167.64,170.18,F,162.56,9,0,1
173,167.64,170.18,F,157.48,9,0,1
173,167.64,170.18,F,152.4,9,0,1
173,167.64,170.18,F,152.4,9,0,1
174,167.64,167.64,M,167.64,5,1,0
174,167.64,167.64,M,165.1,5,1,0
174,167.64,167.64,F,170.18,5,0,1
174,167.64,167.64,F,168.91,5,0,1
174,167.64,167.64,F,166.37,5,0,1
175,167.64,167.64,M,182.88,6,1,0
175,167.64,167.64,M,172.72,6,1,0
175,167.64,167.64,F,167.64,6,0,1
175,167.64,167.64,F,165.1,6,0,1
175,167.64,167.64,F,157.48,6,0,1
175,167.64,167.64,F,154.94,6,0,1
176,168.91,165.1,M,174.498,8,1,0
176,168.91,165.1,M,173.99,8,1,0
176,168.91,165.1,M,168.91,8,1,0
176,168.91,165.1,M,163.83,8,1,0
176,168.91,165.1,F,158.75,8,0,1
176,168.91,165.1,F,153.67,8,0,1
176,168.91,165.1,F,153.67,8,0,1
176,168.91,165.1,F,146.05,8,0,1
177,167.64,166.37,M,182.88,5,1,0
177,167.64,166.37,M,180.34,5,1,0
177,167.64,166.37,M,170.18,5,1,0
177,167.64,166.37,F,167.64,5,0,1
177,167.64,166.37,F,165.1,5,0,1
178,167.64,160.02,M,177.8,1,1,0
179,167.64,161.29,F,163.83,2,0,1
179,167.64,161.29,F,157.48,2,0,1
180,168.91,160.02,M,170.688,6,1,0
180,168.91,160.02,M,170.18,6,1,0
180,168.91,160.02,M,165.1,6,1,0
180,168.91,160.02,F,165.1,6,0,1
180,168.91,160.02,F,165.1,6,0,1
180,168.91,160.02,F,160.02,6,0,1
181,168.91,158.75,M,177.8,7,1,0
181,168.91,158.75,M,172.72,7,1,0
181,168.91,158.75,F,161.29,7,0,1
181,168.91,158.75,F,158.75,7,0,1
181,168.91,158.75,F,158.75,7,0,1
181,168.91,158.75,F,158.75,7,0,1
181,168.91,158.75,F,158.75,7,0,1
182,167.64,156.21,M,177.8,1,1,0
183,167.64,152.4,M,172.72,4,1,0
183,167.64,152.4,M,170.18,4,1,0
183,167.64,152.4,M,165.1,4,1,0
183,167.64,152.4,F,152.4,4,0,1
184,167.64,152.4,M,165.1,1,1,0
185,167.64,149.86,M,172.72,15,1,0
185,167.64,149.86,M,170.18,15,1,0
185,167.64,149.86,M,168.91,15,1,0
185,167.64,149.86,M,167.64,15,1,0
185,167.64,149.86,M,166.878,15,1,0
185,167.64,149.86,M,166.37,15,1,0
185,167.64,149.86,M,165.1,15,1,0
185,167.64,149.86,F,165.1,15,0,1
185,167.64,149.86,F,162.56,15,0,1
185,167.64,149.86,F,160.02,15,0,1
185,167.64,149.86,F,157.48,15,0,1
185,167.64,149.86,F,154.94,15,0,1
185,167.64,149.86,F,152.4,15,0,1
185,167.64,149.86,F,147.32,15,0,1
185,167.64,149.86,F,144.78,15,0,1
186,165.1,170.18,M,168.91,4,1,0
186,165.1,170.18,M,167.64,4,1,0
186,165.1,170.18,M,167.64,4,1,0
186,165.1,170.18,F,165.1,4,0,1
187,165.1,170.18,F,160.02,1,0,1
188,165.1,167.64,M,160.02,4,1,0
188,165.1,167.64,F,160.02,4,0,1
188,165.1,167.64,F,160.02,4,0,1
188,165.1,167.64,F,152.4,4,0,1
190,165.1,165.1,M,175.26,9,1,0
190,165.1,165.1,M,172.72,9,1,0
190,165.1,165.1,M,172.72,9,1,0
190,165.1,165.1,F,165.1,9,0,1
190,165.1,165.1,F,165.1,9,0,1
190,165.1,165.1,F,157.48,9,0,1
190,165.1,165.1,F,157.48,9,0,1
190,165.1,165.1,F,154.94,9,0,1
190,165.1,165.1,F,149.86,9,0,1
191,165.1,166.37,M,179.578,2,1,0
191,165.1,166.37,F,166.37,2,0,1
192,165.1,165.1,M,175.768,6,1,0
192,165.1,165.1,M,175.26,6,1,0
192,165.1,165.1,M,172.72,6,1,0
192,165.1,165.1,M,171.958,6,1,0
192,165.1,165.1,F,163.83,6,0,1
192,165.1,165.1,F,153.67,6,0,1
193,165.1,162.56,M,170.18,6,1,0
193,165.1,162.56,M,170.18,6,1,0
193,165.1,162.56,F,162.56,6,0,1
193,165.1,162.56,F,162.56,6,0,1
193,165.1,162.56,F,158.75,6,0,1
193,165.1,162.56,F,153.67,6,0,1
194,165.1,160.02,M,177.8,2,1,0
194,165.1,160.02,F,160.02,2,0,1
195,165.1,160.02,M,167.64,3,1,0
195,165.1,160.02,M,167.64,3,1,0
195,165.1,160.02,F,160.02,3,0,1
196,166.37,160.02,M,180.34,4,1,0
196,166.37,160.02,M,180.34,4,1,0
196,166.37,160.02,M,175.26,4,1,0
196,166.37,160.02,F,161.29,4,0,1
197,166.37,152.4,M,172.72,5,1,0
197,166.37,152.4,M,172.72,5,1,0
197,166.37,152.4,M,170.18,5,1,0
197,166.37,152.4,M,170.18,5,1,0
197,166.37,152.4,F,157.48,5,0,1
198,162.56,162.56,M,181.61,7,1,0
198,162.56,162.56,M,172.72,7,1,0
198,162.56,162.56,F,166.37,7,0,1
198,162.56,162.56,F,162.56,7,0,1
198,162.56,162.56,F,157.48,7,0,1
198,162.56,162.56,F,157.48,7,0,1
198,162.56,162.56,F,154.94,7,0,1
199,162.56,162.56,M,179.07,7,1,0
199,162.56,162.56,M,172.72,7,1,0
199,162.56,162.56,F,170.18,7,0,1
199,162.56,162.56,F,165.1,7,0,1
199,162.56,162.56,F,162.56,7,0,1
199,162.56,162.56,F,162.56,7,0,1
199,162.56,162.56,F,152.4,7,0,1
200,162.56,160.02,M,163.83,1,1,0
201,162.56,152.4,M,167.64,2,1,0
201,162.56,152.4,F,152.4,2,0,1
203,157.48,167.64,M,162.56,3,1,0
203,157.48,167.64,F,157.48,3,0,1
203,157.48,167.64,F,154.94,3,0,1
204,158.75,160.02,M,168.91,2,1,0
204,158.75,160.02,F,144.78,2,0,1
136A,173.99,165.1,M,182.88,8,1,0
136A,173.99,165.1,M,179.07,8,1,0
136A,173.99,165.1,M,174.498,8,1,0
136A,173.99,165.1,M,173.99,8,1,0
136A,173.99,165.1,M,171.958,8,1,0
136A,173.99,165.1,F,162.56,8,0,1
136A,173.99,165.1,F,161.29,8,0,1
136A,173.99,165.1,F,160.02,8,0,1
